Aff,Neg,Judges,Votes,Win
Lincoln Southwest QW,Delbarton RW,"Aileen Liang																																						Al Deak																																						Kien Tran","Neg																															Neg																															Neg","3-0																															NEG"
Acton-Boxborough NS,Jordan HJ,"Jing Jing Xiao																																						Gia Nguyen																																						Yu Li","Neg																															Aff																															Neg","2-1																															NEG"
Langley CL,Westlake NM,"Anu Saraf																																						Anbu Subramanian																																						Ken Wu","Aff																															Aff																															Aff","3-0																															AFF"
Nueva ES,Ravenwood TI,"Daneis Barber																																						Siva Chinnasamy																																						Paul Belanger","Neg																															Neg																															Aff","2-1																															NEG"
Lambert ML,Cascadia Senior WP,"Doug Miller																																						Man Mak																																						Avery Wilson","Aff																															Neg																															Neg","2-1																															NEG"
Germantown SH,Arlington LC,"Adam Meskouri																																						Allen Law																																						Bhaskar Sarmah","Aff																															Aff																															Neg","2-1																															AFF"
Oakwood GR,Theodore Roosevelt AB,"Yakub Islamov																																						Malcolm Davis																																						Alexander Tivlumun","Neg																															Neg																															Aff","2-1																															NEG"
Amador Valley JW,Brooks Debate Institute PS,"Dean Carman																																						Yutong Hu																																						Vikash Ranjan","Aff																															Neg																															Aff","2-1																															AFF"
Mount Si KG,Strake Jesuit  ZM,"Loc Nguyen																																						Serena Schadl																																						Sunil Garimella","Neg																															Neg																															Neg","3-0																															NEG"
Harrisburg BA,Theodore Roosevelt MC,"Muhammed Habib																																						Karissa Kromminga																																						Naomi Davis","Aff																															Aff																															Neg","2-1																															AFF"
Stratford WW,Eden Prairie VV,"Tushar Katarki																																						Elena Nikiforova																																						Elaine Zheng","Neg																															Aff																															Neg","2-1																															NEG"
Hunter OW,Acton-Boxborough SG,"Parker Klyn																																						Anita Narra																																						Nayem Jahingir","Aff																															Aff																															Neg","2-1																															AFF"
VDA - Vancouver ZL,Quarry Lane RZ,"Dylan Morgan																																						Andrew Fostiropoulos																																						Lily Zeleny","Aff																															Aff																															Aff","3-0																															AFF"
Iowa City West ED,Cranbrook LY,"Philip Perez																																						Gyuzel Federov																																						Erik Briones","Neg																															Aff																															Neg","2-1																															NEG"
Lincoln East NB,Lincoln East AG,,Lincoln East NB advances,Lincoln East NB advances
Hunter KP,Hunter GB,,Hunter GB advances,Hunter GB advances
